productid,productskuid,New Product Name,Quantity,New_level1,New_level2,Valued_level2,New_level3,brandname,orig_score,aggr_score
100064508,10073590.0,ruchi meat masala,50 g,masala,spices & masalas,spices & masalas,blended spices,Ruchi Food,0.0,0.0
100016823,10019593.0,sahiba barbque masala,100 g,masala,spices & masalas,spices & masalas,blended spices,Sahiba brand,0.0,0.0
100112124,10123865.0,samrat chana dal,200 g,snacks,,,indian savouries,Samrat,0.0,0.0
100111906,10123647.0,samrat chana dal,60 g,snacks,,,indian savouries,Samrat,0.0,0.0
100114975,10126716.0,shyam carrom seeds ajwain,100 g,masala,spices & masalas,spices & masalas,whole spices,Shyam,0.0,0.0
100033467,10040013.0,sri krishna sweets kadhaali namkeen mixture,150 g,snacks,snacks,snacks,namkeen,Sri Krishna,0.0,0.0
100064035,10072989.0,sri sri tattva garam masala,100 g,,spices & masalas,spices & masalas,garam masala,Sri Sri Tattva,0.0,0.0
100066820,10076376.0,suruchi chai masala,50 g,masala,spices & masalas,spices & masalas,blended spices,Suruchi,0.0,0.0
100048210,10055920.0,swastiks tandoori chicken masala,50 g,masala,spices & masalas,spices & masalas,blended spices,Swastiks,0.0,0.0
100031066,10036949.0,vandevi hing yellow powder,,masala,spices & masalas,spices & masalas,hing,Vandevi,0.0,0.0
100052099,10059778.0,act ii cheese nachoz,60 g,snacks,,,chips,Act II,0.0,0.0
100044487,10052086.0,act ii cheese nachoz,150 g,snacks,,,chips,Act II,0.0,0.0
100051655,10059326.0,annapurna muruku,75 g,snacks,snacks,snacks,namkeen,Annapoorna,0.0,0.0
100033136,10039663.0,beanfields picdegallo bean chip,170 g,snacks,snacks,snacks,tomato chips,Beanfields,0.0,0.0
100003021,10003605.0,betty crocker delights supreme walnut brownie mix,468 g,snacks,snacks,snacks,pre mix,Betty Crocker,0.0,0.0
100071693,10081985.0,brijnandan palak mathri,400 g,snacks,snacks,snacks,namkeen,Brijnandan,0.0,0.0
100146055,10157796.0,catch ginger garlic paste,200 g,,spices & masalas,,,Catch,0.0,0.0
100044706,10052321.0,chef solution indian tandoori seasoning,250 g,masala,spices & masalas,spices & masalas,seasoning,Chef Solution,0.0,0.0
100066835,10076397.0,chukde jeera powder,100 gm,masala,spices & masalas,spices & masalas,powdered jeera,Chukde,0.0,0.0
100063186,10071956.0,cookme biryani mix,50 g,masala,spices & masalas,spices & masalas,blended masalas,Cookme,0.0,0.0
100111477,10123218.0,dp mw pcrn tmato,400g,snacks,,,chips,Dynapop,0.0,0.0
100081443,10093116.0,desi foodees bhel puri,150 g,snacks,snacks,snacks,namkeen,Deasi Foodies,0.0,0.0
100045503,10053128.0,diamond yellow chips,30 g,snacks,snacks,snacks,tomato chips,Daymond,0.0,0.0
100052143,10059822.0,e vita shing bhujiya,30 g,snacks,snacks,snacks,masala nuts,E Vita,0.0,0.0
100018434,10021471.0,garden mahalaxmi chivda,180 g,snacks,snacks,snacks,namkeen,Garden,0.0,0.0
100043753,10051284.0,golden wonder tangy toms,35 g,snacks,snacks,snacks,namkeen,Crax Corn Ring,0.0,0.0
100049986,10057682.0,haldirams nagpur taka tak tomato gathiya,55 g,snacks,,,chips,Haldiram's Nagpur,0.0,0.0
100060959,10069621.0,haldirams nagpur chatpati dal,70 g,snacks,snacks,snacks,namkeen,Haldiram Namkeen,0.0,0.0
100041134,10048594.0,haldirams whoopies cheezi balls,70 g,snacks,snacks,snacks,namkeen,Haldiram Snacks,0.0,0.0
100094128,10106778.0,jabsons falhari khakhara,140 g,snacks,,,indian savouries,Jabsons,0.0,0.0
100106070,10117928.0,kamdhenu khus khus kasa kasa,25 g,masala,spices & masalas,spices & masalas,whole spices,KAMADHENU,0.0,0.0
100090321,10103014.0,kamdhenu sesame seeds,50 g,masala,spices & masalas,spices & masalas,till nylon,KAMADHENU,0.0,0.0
100036868,10044192.0,kapol noodle masala,75 g,masala,spices & masalas,spices & masalas,whole spices,Kapol,0.0,0.0
100036289,10043513.0,kwality makers diet chivda,150 g,snacks,snacks,snacks,namkeen,Kwality,0.0,0.0
100017301,10020126.0,mdh pani puri masala,100 g,masala,spices & masalas,spices & masalas,blended spices,MDH Masale,0.0,0.0
100149566,10161307.0,mtr dhania powder,200 g,masala,spices & masalas,spices & masalas,powdered spices,MTR,0.0,0.0
100143714,10155455.0,meiji yan yan creamy vanilla dip biscuit snack,25 g,snacks,biscuits,,,Yan Yan,0.0,0.0
100083371,10095307.0,mona jaipatri,10 g,masala,spices & masalas,spices & masalas,whole spices,Mona,0.0,0.0
100046768,10054403.0,mothers recipe kadhai paneer mix,80 g,masala,spices & masalas,spices & masalas,blended spices,Mother Recepie,0.0,0.0
100143690,10155431.0,nani fish fry masala,50 g,,spices & masalas,spices & masalas,blended masalas,Nani,0.0,0.0
100087599,10099995.0,nani nutmeg,500 g,,spices & masalas,spices & masalas,whole garam masala,Nani,0.0,0.0
100039620,10047232.0,narpa shahi paneer masala,100 g,masala,spices & masalas,spices & masalas,blended spices,Narpa,0.0,0.0
100016975,10019758.0,national mutton biryani masala,45 g,masala,spices & masalas,spices & masalas,blended spices,National Foods,0.0,0.0
100039448,10047046.0,om jee red chilli powder,500 g,,spices & masalas,spices & masalas,red chilli powder,Om jee,0.0,0.0
100017055,10019842.0,parampara madras sambar,40 g,masala,spices & masalas,spices & masalas,blended spices,Parampara,0.0,0.0
100050078,10057773.0,prakash dal tadka masala,100 g,masala,spices & masalas,spices & masalas,blended spices,Prakash,0.0,0.0
100049027,10056725.0,rg compounded asafoetida,10 g,masala,spices & masalas,spices & masalas,hing,R.G,0.0,0.0
100016993,10019779.0,snapin cinnamon powder,45 g,masala,spices & masalas,spices & masalas,powdered spices,Snapin,0.0002739994133565,0.0002739994133565
100033422,10039965.0,sun special masala chakli,100 g,snacks,,,indian savouries,Sun,0.0,0.0
100031044,10036925.0,table spoon tandoori tikka masala,100 g,masala,spices & masalas,spices & masalas,blended masalas,Table Spoon,9.968412803530164e-05,9.968412803530164e-05
100056382,10064332.0,tiger rose milk culinary essence,20 ml,masala,spices & masalas,spices & masalas,powdered spices,Tiger,0.0,0.0
100004858,10005583.0,tyrrells worcestershire sauce and sun dried tomato,150 g,snacks,snacks,snacks,potato chips branded,Tyrrells,0.0,0.0
100089965,10102610.0,umadis coconut garlic chutney,200 g,masala,spices & masalas,spices & masalas,powdered spices,Umadis,0.0,0.0
100008046,10009283.0,urban flavorz urban roasted jeera,70 g,masala,spices & masalas,spices & masalas,whole jeera,Urban Flavorz,0.0,0.0
100036265,10043488.0,akshaya seeval,100 g,snacks,snacks,snacks,namkeen,Akshaya,0.0,0.0
100088882,10101352.0,balaji gathiya namkeen,70 g,snacks,snacks,snacks,gathiya,Balaji Gujarat,0.0,0.0
100043731,10051263.0,bambino premium compounded hing,25 g,masala,spices & masalas,spices & masalas,hing,Bambino,0.0,0.0
100002992,10003574.0,betty crocker supermoist strawberry cake mix,432 g,snacks,snacks,snacks,pre mix,Betty Crocker,0.0,0.0
100036796,10044114.0,bhojwanis chilli powder,50 g,masala,spices & masalas,spices & masalas,whole spices,Bhojwanis,0.0,0.0
100019210,10022507.0,bikaji lite jhalmuri namkeen mix,200 g,snacks,snacks,snacks,namkeen,Bikaji Foods,0.0,0.0
100074495,10085255.0,cbs bay leaf,,masala,spices & masalas,spices & masalas,whole spices,CBS,0.0,0.0
100026478,10031097.0,catch whole clove,50 g,masala,spices & masalas,spices & masalas,whole spices,Catch,0.0,0.0
100026520,10031160.0,dhaniya jeera mix powder,100 g,masala,spices & masalas,spices & masalas,whole spices,Private Label,0.0,0.0
100003015,10003598.0,ghirardelli chocolate supreme brownie mix,531 g,snacks,snacks,snacks,pre mix,Ghirardelli,0.0,0.0
100039092,10046677.0,haldiram aloo bhujia,20GM,snacks,snacks,snacks,bhujia,Haldiram Snacks,0.0,0.0
100018581,10021634.0,haldirams kashmiri dalmoth namkeen,,snacks,snacks,snacks,nachos,Haldiram Snacks,0.0,0.0
100005170,10005967.0,jack n jill piattos nacho pizza flavored potato crisps,,snacks,chips,,,Jack N Jill,0.0,0.0
100033367,10039906.0,jalaram foods cheese nachos,135 gm,snacks,snacks,snacks,namkeen,JFS,0.0,0.0
100016841,10019615.0,keya cardamom seed powder,70 g,masala,spices & masalas,spices & masalas,powdered spices,Keya,0.0,0.0
100021071,10024530.0,khalis organics red chilli powder,,masala,spices & masalas,spices & masalas,red chilli powder,Khalis Organics,0.0,0.0
100033220,10039753.0,krrish diet bhel,150 g,snacks,snacks,snacks,namkeen,Krrish,0.0,0.0
100033374,10039913.0,kurkure combo pack large,303 g,snacks,snacks,snacks,namkeen,Kurkure,0.0,0.0
100143241,10154982.0,maggi masala ae magic,6 g Pack of 48,masala,spices & masalas,spices & masalas,blended masalas,Maggi,0.0122071366852217,0.0122071366852217
100149488,10161229.0,maggi masala ae magic,30 g,masala,spices & masalas,spices & masalas,blended masalas,Maggi,0.0,0.0122071366852217
100090433,10103174.0,maggi masala ae magic,6 g Pack of 12,masala,spices & masalas,spices & masalas,blended masalas,Maggi,0.0,0.0122071366852217
100096038,10108550.0,makino salsa nacho chips,60 g,snacks,snacks,snacks,nachos,Makino,0.0,0.0
100114372,10126113.0,marson flavours kevra essence,20 ml,,spices & masalas,spices & masalas,flavours,Marson,0.0,0.0
100089606,10102195.0,nilons black pepper powder,50 g,masala,spices & masalas,spices & masalas,powdered spices,Nilon's,0.0006978592898614,0.0006978592898614
100072860,10083300.0,nirapara biryani masala,100 gm,masala,spices & masalas,spices & masalas,blended spices,Nirapara,0.0,0.0
